ano,uf,tipo,qtde
2013,ACRE,AUTOMOVEL,64622
2013,ACRE,CAMINHAO,6087
2013,ACRE,CAMINHAO TRATOR,546
2013,ACRE,CAMINHONETE,15706
2013,ACRE,CAMIONETA,6022
2013,ACRE,MICROONIBUS,269
2013,ACRE,MOTOCICLETA,83002
2013,ACRE,MOTONETA,15792
2013,ACRE,ONIBUS,795
2013,ACRE,UTILITARIO,776
2013,ALAGOAS,AUTOMOVEL,265459
2013,ALAGOAS,CAMINHAO,18189
2013,ALAGOAS,CAMINHAO TRATOR,2027
2013,ALAGOAS,CAMINHONETE,32490
2013,ALAGOAS,CAMIONETA,20807
2013,ALAGOAS,MICROONIBUS,5246
2013,ALAGOAS,MOTOCICLETA,186617
2013,ALAGOAS,MOTONETA,27584
2013,ALAGOAS,ONIBUS,5896
2013,ALAGOAS,UTILITARIO,3220
2013,AMAPA,AUTOMOVEL,62004
2013,AMAPA,CAMINHAO,3470
2013,AMAPA,CAMINHAO TRATOR,257
2013,AMAPA,CAMINHONETE,13262
2013,AMAPA,CAMIONETA,5749
2013,AMAPA,MICROONIBUS,364
2013,AMAPA,MOTOCICLETA,49128
2013,AMAPA,MOTONETA,8243
2013,AMAPA,ONIBUS,928
2013,AMAPA,UTILITARIO,663
2013,AMAZONAS,AUTOMOVEL,314731
2013,AMAZONAS,CAMINHAO,18324
2013,AMAZONAS,CAMINHAO TRATOR,2840
2013,AMAZONAS,CAMINHONETE,59215
2013,AMAZONAS,CAMIONETA,32247
2013,AMAZONAS,MICROONIBUS,3165
2013,AMAZONAS,MOTOCICLETA,172693
2013,AMAZONAS,MOTONETA,39362
2013,AMAZONAS,ONIBUS,8214
2013,AMAZONAS,UTILITARIO,3963
2013,BAHIA,AUTOMOVEL,1357427
2013,BAHIA,CAMINHAO,101739
2013,BAHIA,CAMINHAO TRATOR,17196
2013,BAHIA,CAMINHONETE,227498
2013,BAHIA,CAMIONETA,91208
2013,BAHIA,MICROONIBUS,22803
2013,BAHIA,MOTOCICLETA,953869
2013,BAHIA,MOTONETA,129687
2013,BAHIA,ONIBUS,32701
2013,BAHIA,UTILITARIO,15730
2013,CEARA,AUTOMOVEL,837452
2013,CEARA,CAMINHAO,58381
2013,CEARA,CAMINHAO TRATOR,6638
2013,CEARA,CAMINHONETE,112093
2013,CEARA,CAMIONETA,71221
2013,CEARA,MICROONIBUS,9276
2013,CEARA,MOTOCICLETA,986826
2013,CEARA,MOTONETA,110767
2013,CEARA,ONIBUS,13119
2013,CEARA,UTILITARIO,17670
2013,DISTRITO FEDERAL,AUTOMOVEL,1063702
2013,DISTRITO FEDERAL,CAMINHAO,21172
2013,DISTRITO FEDERAL,CAMINHAO TRATOR,2890
2013,DISTRITO FEDERAL,CAMINHONETE,83930
2013,DISTRITO FEDERAL,CAMIONETA,71116
2013,DISTRITO FEDERAL,MICROONIBUS,4830
2013,DISTRITO FEDERAL,MOTOCICLETA,149844
2013,DISTRITO FEDERAL,MOTONETA,14074
2013,DISTRITO FEDERAL,ONIBUS,9082
2013,DISTRITO FEDERAL,UTILITARIO,14525
2013,ESPIRITO SANTO,AUTOMOVEL,761805
2013,ESPIRITO SANTO,CAMINHAO,62280
2013,ESPIRITO SANTO,CAMINHAO TRATOR,16608
2013,ESPIRITO SANTO,CAMINHONETE,102530
2013,ESPIRITO SANTO,CAMIONETA,69888
2013,ESPIRITO SANTO,MICROONIBUS,6626
2013,ESPIRITO SANTO,MOTOCICLETA,362102
2013,ESPIRITO SANTO,MOTONETA,80613
2013,ESPIRITO SANTO,ONIBUS,13228
2013,ESPIRITO SANTO,UTILITARIO,9712
2013,GOIAS,AUTOMOVEL,1444014
2013,GOIAS,CAMINHAO,94986
2013,GOIAS,CAMINHAO TRATOR,24217
2013,GOIAS,CAMINHONETE,276452
2013,GOIAS,CAMIONETA,60438
2013,GOIAS,MICROONIBUS,7472
2013,GOIAS,MOTOCICLETA,720105
2013,GOIAS,MOTONETA,209421
2013,GOIAS,ONIBUS,18553
2013,GOIAS,UTILITARIO,12661
2013,MARANHAO,AUTOMOVEL,321446
2013,MARANHAO,CAMINHAO,31624
2013,MARANHAO,CAMINHAO TRATOR,2673
2013,MARANHAO,CAMINHONETE,73131
2013,MARANHAO,CAMIONETA,22450
2013,MARANHAO,MICROONIBUS,3988
2013,MARANHAO,MOTOCICLETA,574095
2013,MARANHAO,MOTONETA,87582
2013,MARANHAO,ONIBUS,6687
2013,MARANHAO,UTILITARIO,5547
2013,MATO GROSSO,AUTOMOVEL,517145
2013,MATO GROSSO,CAMINHAO,56529
2013,MATO GROSSO,CAMINHAO TRATOR,24415
2013,MATO GROSSO,CAMINHONETE,148887
2013,MATO GROSSO,CAMIONETA,27872
2013,MATO GROSSO,MICROONIBUS,2654
2013,MATO GROSSO,MOTOCICLETA,477671
2013,MATO GROSSO,MOTONETA,152367
2013,MATO GROSSO,ONIBUS,9103
2013,MATO GROSSO,UTILITARIO,7494
2013,MATO GROSSO DO SUL,AUTOMOVEL,554657
2013,MATO GROSSO DO SUL,CAMINHAO,43365
2013,MATO GROSSO DO SUL,CAMINHAO TRATOR,12818
2013,MATO GROSSO DO SUL,CAMINHONETE,116655
2013,MATO GROSSO DO SUL,CAMIONETA,22242
2013,MATO GROSSO DO SUL,MICROONIBUS,2900
2013,MATO GROSSO DO SUL,MOTOCICLETA,303496
2013,MATO GROSSO DO SUL,MOTONETA,85044
2013,MATO GROSSO DO SUL,ONIBUS,7987
2013,MATO GROSSO DO SUL,UTILITARIO,6174
2013,MINAS GERAIS,AUTOMOVEL,4743164
2013,MINAS GERAIS,CAMINHAO,289361
2013,MINAS GERAIS,CAMINHAO TRATOR,56253
2013,MINAS GERAIS,CAMINHONETE,661005
2013,MINAS GERAIS,CAMIONETA,205262
2013,MINAS GERAIS,MICROONIBUS,37473
2013,MINAS GERAIS,MOTOCICLETA,2037021
2013,MINAS GERAIS,MOTONETA,216462
2013,MINAS GERAIS,ONIBUS,64564
2013,MINAS GERAIS,UTILITARIO,32481
2013,PARA,AUTOMOVEL,434850
2013,PARA,CAMINHAO,48009
2013,PARA,CAMINHAO TRATOR,5834
2013,PARA,CAMINHONETE,92378
2013,PARA,CAMIONETA,31580
2013,PARA,MICROONIBUS,5655
2013,PARA,MOTOCICLETA,551351
2013,PARA,MOTONETA,120929
2013,PARA,ONIBUS,13949
2013,PARA,UTILITARIO,8345
2013,PARAIBA,AUTOMOVEL,390895
2013,PARAIBA,CAMINHAO,24692
2013,PARAIBA,CAMINHAO TRATOR,2266
2013,PARAIBA,CAMINHONETE,46881
2013,PARAIBA,CAMIONETA,30463
2013,PARAIBA,MICROONIBUS,3748
2013,PARAIBA,MOTOCICLETA,350811
2013,PARAIBA,MOTONETA,48954
2013,PARAIBA,ONIBUS,6054
2013,PARAIBA,UTILITARIO,4965
2013,PARANA,AUTOMOVEL,3604353
2013,PARANA,CAMINHAO,235334
2013,PARANA,CAMINHAO TRATOR,79368
2013,PARANA,CAMINHONETE,432934
2013,PARANA,CAMIONETA,223220
2013,PARANA,MICROONIBUS,18536
2013,PARANA,MOTOCICLETA,979862
2013,PARANA,MOTONETA,239406
2013,PARANA,ONIBUS,34892
2013,PARANA,UTILITARIO,30109
2013,PERNAMBUCO,AUTOMOVEL,1051504
2013,PERNAMBUCO,CAMINHAO,80162
2013,PERNAMBUCO,CAMINHAO TRATOR,10113
2013,PERNAMBUCO,CAMINHONETE,112013
2013,PERNAMBUCO,CAMIONETA,84664
2013,PERNAMBUCO,MICROONIBUS,14513
2013,PERNAMBUCO,MOTOCICLETA,794602
2013,PERNAMBUCO,MOTONETA,77668
2013,PERNAMBUCO,ONIBUS,17416
2013,PERNAMBUCO,UTILITARIO,10620
2013,PIAUI,AUTOMOVEL,236382
2013,PIAUI,CAMINHAO,20991
2013,PIAUI,CAMINHAO TRATOR,1855
2013,PIAUI,CAMINHONETE,43780
2013,PIAUI,CAMIONETA,28120
2013,PIAUI,MICROONIBUS,2380
2013,PIAUI,MOTOCICLETA,386599
2013,PIAUI,MOTONETA,65687
2013,PIAUI,ONIBUS,5093
2013,PIAUI,UTILITARIO,2978
2013,RIO DE JANEIRO,AUTOMOVEL,3721831
2013,RIO DE JANEIRO,CAMINHAO,127841
2013,RIO DE JANEIRO,CAMINHAO TRATOR,15287
2013,RIO DE JANEIRO,CAMINHONETE,211438
2013,RIO DE JANEIRO,CAMIONETA,276657
2013,RIO DE JANEIRO,MICROONIBUS,35125
2013,RIO DE JANEIRO,MOTOCICLETA,717836
2013,RIO DE JANEIRO,MOTONETA,127548
2013,RIO DE JANEIRO,ONIBUS,43554
2013,RIO DE JANEIRO,UTILITARIO,32475
2013,RIO GRANDE DO NORTE,AUTOMOVEL,410857
2013,RIO GRANDE DO NORTE,CAMINHAO,25914
2013,RIO GRANDE DO NORTE,CAMINHAO TRATOR,2469
2013,RIO GRANDE DO NORTE,CAMINHONETE,51316
2013,RIO GRANDE DO NORTE,CAMIONETA,31021
2013,RIO GRANDE DO NORTE,MICROONIBUS,4049
2013,RIO GRANDE DO NORTE,MOTOCICLETA,326279
2013,RIO GRANDE DO NORTE,MOTONETA,44323
2013,RIO GRANDE DO NORTE,ONIBUS,5748
2013,RIO GRANDE DO NORTE,UTILITARIO,8434
2013,RIO GRANDE DO SUL,AUTOMOVEL,3465394
2013,RIO GRANDE DO SUL,CAMINHAO,198748
2013,RIO GRANDE DO SUL,CAMINHAO TRATOR,51449
2013,RIO GRANDE DO SUL,CAMINHONETE,326365
2013,RIO GRANDE DO SUL,CAMIONETA,227091
2013,RIO GRANDE DO SUL,MICROONIBUS,17095
2013,RIO GRANDE DO SUL,MOTOCICLETA,927553
2013,RIO GRANDE DO SUL,MOTONETA,159353
2013,RIO GRANDE DO SUL,ONIBUS,36243
2013,RIO GRANDE DO SUL,UTILITARIO,27803
2013,RONDONIA,AUTOMOVEL,203241
2013,RONDONIA,CAMINHAO,25992
2013,RONDONIA,CAMINHAO TRATOR,4987
2013,RONDONIA,CAMINHONETE,53441
2013,RONDONIA,CAMIONETA,17620
2013,RONDONIA,MICROONIBUS,946
2013,RONDONIA,MOTOCICLETA,310338
2013,RONDONIA,MOTONETA,86444
2013,RONDONIA,ONIBUS,4734
2013,RONDONIA,UTILITARIO,1911
2013,RORAIMA,AUTOMOVEL,51321
2013,RORAIMA,CAMINHAO,3659
2013,RORAIMA,CAMINHAO TRATOR,478
2013,RORAIMA,CAMINHONETE,12993
2013,RORAIMA,CAMIONETA,7893
2013,RORAIMA,MICROONIBUS,553
2013,RORAIMA,MOTOCICLETA,62798
2013,RORAIMA,MOTONETA,14737
2013,RORAIMA,ONIBUS,782
2013,RORAIMA,UTILITARIO,722
2013,SANTA CATARINA,AUTOMOVEL,2336461
2013,SANTA CATARINA,CAMINHAO,134067
2013,SANTA CATARINA,CAMINHAO TRATOR,45419
2013,SANTA CATARINA,CAMINHONETE,194463
2013,SANTA CATARINA,CAMIONETA,191894
2013,SANTA CATARINA,MICROONIBUS,10317
2013,SANTA CATARINA,MOTOCICLETA,741510
2013,SANTA CATARINA,MOTONETA,223485
2013,SANTA CATARINA,ONIBUS,16761
2013,SANTA CATARINA,UTILITARIO,24645
2013,SAO PAULO,AUTOMOVEL,15240187
2013,SAO PAULO,CAMINHAO,619939
2013,SAO PAULO,CAMINHAO TRATOR,152691
2013,SAO PAULO,CAMINHONETE,1196366
2013,SAO PAULO,CAMIONETA,1163413
2013,SAO PAULO,MICROONIBUS,101542
2013,SAO PAULO,MOTOCICLETA,3858305
2013,SAO PAULO,MOTONETA,668917
2013,SAO PAULO,ONIBUS,144136
2013,SAO PAULO,UTILITARIO,134550
2013,SERGIPE,AUTOMOVEL,251689
2013,SERGIPE,CAMINHAO,18456
2013,SERGIPE,CAMINHAO TRATOR,1715
2013,SERGIPE,CAMINHONETE,30229
2013,SERGIPE,CAMIONETA,9918
2013,SERGIPE,MICROONIBUS,3018
2013,SERGIPE,MOTOCICLETA,182367
2013,SERGIPE,MOTONETA,30938
2013,SERGIPE,ONIBUS,5380
2013,SERGIPE,UTILITARIO,2674
2013,Sem Informação,AUTOMOVEL,453867
2013,Sem Informação,CAMINHAO,44844
2013,Sem Informação,CAMINHAO TRATOR,7875
2013,Sem Informação,CAMINHONETE,69968
2013,Sem Informação,CAMIONETA,59899
2013,Sem Informação,MICROONIBUS,3469
2013,Sem Informação,MOTOCICLETA,686426
2013,Sem Informação,MOTONETA,215776
2013,Sem Informação,ONIBUS,5798
2013,Sem Informação,UTILITARIO,7029
2013,TOCANTINS,AUTOMOVEL,150527
2013,TOCANTINS,CAMINHAO,20369
2013,TOCANTINS,CAMINHAO TRATOR,3660
2013,TOCANTINS,CAMINHONETE,36325
2013,TOCANTINS,CAMIONETA,16704
2013,TOCANTINS,MICROONIBUS,1330
2013,TOCANTINS,MOTOCICLETA,177192
2013,TOCANTINS,MOTONETA,70681
2013,TOCANTINS,ONIBUS,4297
2013,TOCANTINS,UTILITARIO,1924
2014,ACRE,AUTOMOVEL,69550
2014,ACRE,CAMINHAO,6376
2014,ACRE,CAMINHAO TRATOR,621
2014,ACRE,CAMINHONETE,17403
2014,ACRE,CAMIONETA,6062
2014,ACRE,MICROONIBUS,299
2014,ACRE,MOTOCICLETA,89955
2014,ACRE,MOTONETA,17578
2014,ACRE,ONIBUS,950
2014,ACRE,UTILITARIO,875
2014,ALAGOAS,AUTOMOVEL,285899
2014,ALAGOAS,CAMINHAO,19230
2014,ALAGOAS,CAMINHAO TRATOR,2182
2014,ALAGOAS,CAMINHONETE,36442
2014,ALAGOAS,CAMIONETA,21939
2014,ALAGOAS,MICROONIBUS,5612
2014,ALAGOAS,MOTOCICLETA,210278
2014,ALAGOAS,MOTONETA,30928
2014,ALAGOAS,ONIBUS,6320
2014,ALAGOAS,UTILITARIO,3797
2014,AMAPA,AUTOMOVEL,66653
2014,AMAPA,CAMINHAO,3683
2014,AMAPA,CAMINHAO TRATOR,288
2014,AMAPA,CAMINHONETE,14822
2014,AMAPA,CAMIONETA,5972
2014,AMAPA,MICROONIBUS,398
2014,AMAPA,MOTOCICLETA,52615
2014,AMAPA,MOTONETA,9056
2014,AMAPA,ONIBUS,997
2014,AMAPA,UTILITARIO,713
2014,AMAZONAS,AUTOMOVEL,334964
2014,AMAZONAS,CAMINHAO,18962
2014,AMAZONAS,CAMINHAO TRATOR,3052
