ano,uf,tipo,combustivel,qtde
2013,ACRE,automovel,alcool,3610
2013,ACRE,automovel,eletrico,8
2013,ACRE,automovel,flex,51404
2013,ACRE,automovel,gasolina,9812
2013,ACRE,automovel,gnv,8
2013,ACRE,caminhao,diesel,6108
2013,ACRE,caminhaotrator,diesel,548
2013,ACRE,caminhonete,diesel,8253
2013,ACRE,caminhonete,eletrico,2
2013,ACRE,caminhonete,gasolina,7505
2013,ACRE,camioneta,diesel,3165
2013,ACRE,camioneta,eletrico,1
2013,ACRE,camioneta,gasolina,2877
2013,ACRE,microonibus,diesel,270
2013,ACRE,motocicleta,gasolina,83285
2013,ACRE,motoneta,gasolina,15846
2013,ACRE,onibus,diesel,798
2013,ACRE,utilitario,eletrico,0
2013,ACRE,utilitario,flex,618
2013,ACRE,utilitario,gasolina,161
2013,ALAGOAS,automovel,alcool,23813
2013,ALAGOAS,automovel,eletrico,0
2013,ALAGOAS,automovel,flex,192754
2013,ALAGOAS,automovel,gasolina,31668
2013,ALAGOAS,automovel,gnv,18130
2013,ALAGOAS,caminhao,diesel,18251
2013,ALAGOAS,caminhaotrator,diesel,2034
2013,ALAGOAS,caminhonete,diesel,11977
2013,ALAGOAS,caminhonete,eletrico,0
2013,ALAGOAS,caminhonete,gasolina,20624
2013,ALAGOAS,camioneta,diesel,7671
2013,ALAGOAS,camioneta,eletrico,0
2013,ALAGOAS,camioneta,gasolina,13207
2013,ALAGOAS,microonibus,diesel,5264
2013,ALAGOAS,motocicleta,gasolina,187254
2013,ALAGOAS,motoneta,gasolina,27678
2013,ALAGOAS,onibus,diesel,5916
2013,ALAGOAS,utilitario,eletrico,0
2013,ALAGOAS,utilitario,flex,2338
2013,ALAGOAS,utilitario,gasolina,893
2013,AMAPA,automovel,alcool,1418
2013,AMAPA,automovel,eletrico,6
2013,AMAPA,automovel,flex,53981
2013,AMAPA,automovel,gasolina,6805
2013,AMAPA,automovel,gnv,6
2013,AMAPA,caminhao,diesel,3482
2013,AMAPA,caminhaotrator,diesel,258
2013,AMAPA,caminhonete,diesel,4359
2013,AMAPA,caminhonete,eletrico,1
2013,AMAPA,caminhonete,gasolina,8947
2013,AMAPA,camioneta,diesel,1889
2013,AMAPA,camioneta,eletrico,1
2013,AMAPA,camioneta,gasolina,3879
2013,AMAPA,microonibus,diesel,365
2013,AMAPA,motocicleta,gasolina,49296
2013,AMAPA,motoneta,gasolina,8271
2013,AMAPA,onibus,diesel,931
2013,AMAPA,utilitario,eletrico,0
2013,AMAPA,utilitario,flex,577
2013,AMAPA,utilitario,gasolina,88
2013,AMAZONAS,automovel,alcool,16229
2013,AMAZONAS,automovel,eletrico,33
2013,AMAZONAS,automovel,flex,226287
2013,AMAZONAS,automovel,gasolina,72038
2013,AMAZONAS,automovel,gnv,1218
2013,AMAZONAS,caminhao,diesel,18387
2013,AMAZONAS,caminhaotrator,diesel,2850
2013,AMAZONAS,caminhonete,diesel,15233
2013,AMAZONAS,caminhonete,eletrico,6
2013,AMAZONAS,caminhonete,gasolina,44178
2013,AMAZONAS,camioneta,diesel,8295
2013,AMAZONAS,camioneta,eletrico,3
2013,AMAZONAS,camioneta,gasolina,24059
2013,AMAZONAS,microonibus,diesel,3176
2013,AMAZONAS,motocicleta,gasolina,173282
2013,AMAZONAS,motoneta,gasolina,39496
2013,AMAZONAS,onibus,diesel,8242
2013,AMAZONAS,utilitario,eletrico,0
2013,AMAZONAS,utilitario,flex,2850
2013,AMAZONAS,utilitario,gasolina,1127
2013,BAHIA,automovel,alcool,95131
2013,BAHIA,automovel,eletrico,54
2013,BAHIA,automovel,flex,937693
2013,BAHIA,automovel,gasolina,282246
2013,BAHIA,automovel,gnv,46934
2013,BAHIA,caminhao,diesel,102086
2013,BAHIA,caminhaotrator,diesel,17255
2013,BAHIA,caminhonete,diesel,69796
2013,BAHIA,caminhonete,eletrico,9
2013,BAHIA,caminhonete,gasolina,158469
2013,BAHIA,camioneta,diesel,27983
2013,BAHIA,camioneta,eletrico,4
2013,BAHIA,camioneta,gasolina,63532
2013,BAHIA,microonibus,diesel,22881
2013,BAHIA,motocicleta,gasolina,957123
2013,BAHIA,motoneta,gasolina,130129
2013,BAHIA,onibus,diesel,32813
2013,BAHIA,utilitario,eletrico,1
2013,BAHIA,utilitario,flex,10866
2013,BAHIA,utilitario,gasolina,4917
2013,CEARA,automovel,alcool,62708
2013,CEARA,automovel,eletrico,17
2013,CEARA,automovel,flex,609242
2013,CEARA,automovel,gasolina,133292
2013,CEARA,automovel,gnv,35050
2013,CEARA,caminhao,diesel,58580
2013,CEARA,caminhaotrator,diesel,6661
2013,CEARA,caminhonete,diesel,53730
2013,CEARA,caminhonete,eletrico,2
2013,CEARA,caminhonete,gasolina,58743
2013,CEARA,camioneta,diesel,34139
2013,CEARA,camioneta,eletrico,1
2013,CEARA,camioneta,gasolina,37324
2013,CEARA,microonibus,diesel,9308
2013,CEARA,motocicleta,gasolina,990192
2013,CEARA,motoneta,gasolina,111145
2013,CEARA,onibus,diesel,13164
2013,CEARA,utilitario,eletrico,0
2013,CEARA,utilitario,flex,12855
2013,CEARA,utilitario,gasolina,4875
2013,DISTRITO FEDERAL,automovel,alcool,59501
2013,DISTRITO FEDERAL,automovel,eletrico,43
2013,DISTRITO FEDERAL,automovel,flex,623097
2013,DISTRITO FEDERAL,automovel,gasolina,382770
2013,DISTRITO FEDERAL,automovel,gnv,1920
2013,DISTRITO FEDERAL,caminhao,diesel,21244
2013,DISTRITO FEDERAL,caminhaotrator,diesel,2900
2013,DISTRITO FEDERAL,caminhonete,diesel,23933
2013,DISTRITO FEDERAL,caminhonete,eletrico,3
2013,DISTRITO FEDERAL,caminhonete,gasolina,60280
2013,DISTRITO FEDERAL,camioneta,diesel,20279
2013,DISTRITO FEDERAL,camioneta,eletrico,3
2013,DISTRITO FEDERAL,camioneta,gasolina,51077
2013,DISTRITO FEDERAL,microonibus,diesel,4846
2013,DISTRITO FEDERAL,motocicleta,gasolina,150355
2013,DISTRITO FEDERAL,motoneta,gasolina,14122
2013,DISTRITO FEDERAL,onibus,diesel,9113
2013,DISTRITO FEDERAL,utilitario,eletrico,1
2013,DISTRITO FEDERAL,utilitario,flex,8508
2013,DISTRITO FEDERAL,utilitario,gasolina,6066
2013,ESPIRITO SANTO,automovel,alcool,53682
2013,ESPIRITO SANTO,automovel,eletrico,17
2013,ESPIRITO SANTO,automovel,flex,459891
2013,ESPIRITO SANTO,automovel,gasolina,223045
2013,ESPIRITO SANTO,automovel,gnv,27769
2013,ESPIRITO SANTO,caminhao,diesel,62492
2013,ESPIRITO SANTO,caminhaotrator,diesel,16665
2013,ESPIRITO SANTO,caminhonete,diesel,30779
2013,ESPIRITO SANTO,caminhonete,eletrico,2
2013,ESPIRITO SANTO,caminhonete,gasolina,72099
2013,ESPIRITO SANTO,camioneta,diesel,20980
2013,ESPIRITO SANTO,camioneta,eletrico,2
2013,ESPIRITO SANTO,camioneta,gasolina,49144
